"filename", "language", "JSON", "HTML", "Properties", "Markdown", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Front.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 10, 55
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Front.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 16, 14, 67
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Helper.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 5, 7, 37
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Hooks\FetchQuestion.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 42, 12, 113
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Hooks\setResult.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 14, 9, 54
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Question.css", "CSS", 0, 0, 0, 0, 0, 0, 80, 0, 24, 104
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Question.js", "JavaScript", 0, 0, 0, 0, 84, 0, 0, 37, 35, 156
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Quiz.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 33, 24, 113
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\QuizCard.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\QuizCard.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 11, 16, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Result.css", "CSS", 0, 0, 0, 0, 0, 0, 40, 0, 9, 49
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Result.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 10, 13, 103
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\ResultTable.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\StudentQuizMarks.js", "JavaScript", 0, 0, 0, 0, 95, 0, 0, 124, 55, 274
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Resultcard\FinalResult.js", "JavaScript", 0, 0, 0, 0, 325, 0, 0, 27, 55, 407
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentComplain.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 1, 9, 84
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentDashboard.js", "JavaScript", 0, 0, 0, 0, 134, 0, 0, 0, 6, 140
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentHomePage.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 7, 39, 197
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentProfile.js", "JavaScript", 0, 0, 0, 0, 100, 0, 0, 0, 6, 106
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentQuestion\ViewQuestion.js", "JavaScript", 0, 0, 0, 0, 64, 0, 0, 4, 7, 75
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentSideBar.js", "JavaScript", 0, 0, 0, 0, 93, 0, 0, 4, 3, 100
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\StudentSubjects.js", "JavaScript", 0, 0, 0, 0, 121, 0, 0, 12, 15, 148
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Remark.js", "JavaScript", 0, 0, 0, 0, 131, 0, 0, 0, 5, 136
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Segmentation.js", "JavaScript", 0, 0, 0, 0, 583, 0, 0, 187, 84, 854
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Suggestion\Suggestion.js", "JavaScript", 0, 0, 0, 0, 47, 0, 0, 3, 8, 58
