"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherEvaluationForm\TeacherEvaluationForm.js", "JavaScript", 301, 0, 0, 62, 60, 423
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherHomePage.js", "JavaScript", 71, 0, 0, 20, 10, 101
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherMedia\TeacherTutorial.js", "JavaScript", 43, 0, 0, 3, 7, 53
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherMedia\TeacherUploadForm.js", "JavaScript", 158, 0, 0, 2, 14, 174
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherProfile.js", "JavaScript", 39, 0, 0, 0, 8, 47
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuestion\QuestionForm.js", "JavaScript", 111, 0, 0, 4, 11, 126
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuestion\TeacherQuestion.js", "JavaScript", 57, 0, 0, 5, 9, 71
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\QuizResultTable.js", "JavaScript", 39, 0, 0, 0, 5, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\Quizform.js", "JavaScript", 31, 0, 0, 2, 6, 39
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\TeacherQuizFront.js", "JavaScript", 60, 0, 0, 2, 8, 70
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\Trquiz.js", "JavaScript", 134, 0, 0, 7, 11, 152
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherSideBar.js", "JavaScript", 79, 0, 0, 8, 4, 91
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherViewStudent.js", "JavaScript", 188, 0, 0, 13, 19, 220
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\QuizRelated\questionReducer.js", "JavaScript", 40, 0, 0, 2, 2, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\QuizRelated\resultReducer.js", "JavaScript", 28, 0, 0, 1, 3, 32
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\complainRelated\complainHandle.js", "JavaScript", 20, 0, 0, 2, 3, 25
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\complainRelated\complainSlice.js", "JavaScript", 38, 0, 0, 0, 4, 42
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeHandle.js", "JavaScript", 20, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeSlice.js", "JavaScript", 38, 0, 0, 0, 4, 42
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassHandle.js", "JavaScript", 98, 0, 0, 0, 13, 111
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassSlice.js", "JavaScript", 88, 0, 0, 0, 4, 92
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\store.js", "JavaScript", 23, 0, 0, 2, 7, 32
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\studentRelated\studentHandle.js", "JavaScript", 86, 0, 0, 19, 14, 119
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\studentRelated\studentSlice.js", "JavaScript", 53, 0, 0, 0, 4, 57
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherHandle.js", "JavaScript", 44, 0, 0, 0, 6, 50
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherSlice.js", "JavaScript", 52, 0, 0, 0, 4, 56
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\userRelated\userHandle.js", "JavaScript", 97, 0, 0, 16, 16, 129
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\userRelated\userSlice.js", "JavaScript", 96, 0, 0, 0, 7, 103
"Total", "-", 11031, 291, 121, 1313, 1641, 14397
